년,월,국적지역,단기체류외국인 수
2022,01,태국,139780
2022,01,미국,69253
2022,01,중국,53351
2022,01,베트남,28549
2022,01,몽골,12950
2022,01,러시아연방,9024
2022,01,필리핀,8577
2022,01,카자흐스탄,7579
2022,01,한국계중국인,6902
2022,01,우즈베키스탄,4078
2022,01,인도네시아,3689
2022,01,방글라데시,3274
2022,01,일본,2742
2022,01,파키스탄,2242
2022,01,캐나다,2208
2022,01,오스트레일리아,1833
2022,01,인도,1597
2022,01,네팔,1580
2022,01,말레이시아,1573
2022,01,미얀마,1525
2022,01,스리랑카,1424
2022,01,캄보디아,1391
2022,01,영국,845
2022,01,프랑스,795
2022,01,타이완,783
2022,01,독일,758
2022,01,이란,726
2022,01,키르기즈,683
2022,01,뉴질랜드,589
2022,01,라오스,569
2022,01,타지키스탄,500
2022,01,브라질,477
2022,01,터키,452
2022,01,싱가포르,422
2022,01,홍콩,399
2022,01,나이지리아,343
2022,01,이집트,331
2022,01,페루,308
2022,01,멕시코,270
2022,01,가나,267
2022,01,우크라이나,259
2022,01,아르헨티나,239
2022,01,이탈리아,227
2022,01,아랍에미리트연합,199
2022,01,티모르민주공화국,180
2022,01,네덜란드,179
2022,01,남아프리카공화국,169
2022,01,스페인,158
2022,01,루마니아,155
2022,01,폴란드,137
2022,01,스웨덴,137
2022,01,리비아,135
2022,01,이라크,134
2022,01,모로코,127
2022,01,파라과이,110
2022,01,스위스,105
2022,01,요르단,90
2022,01,덴마크,88
2022,01,벨기에,85
2022,01,그리스,79
2022,01,노르웨이,78
2022,01,콜롬비아,76
2022,01,아일랜드,73
2022,01,크로아티아,70
2022,01,칠레,66
2022,01,아프가니스탄,61
2022,01,체코,60
2022,01,오스트리아,57
2022,01,에콰도르,54
2022,01,라이베리아,54
2022,01,우간다,52
2022,01,튀니지,50
2022,01,베네수엘라,50
2022,01,과테말라,48
2022,01,사우디아라비아,47
2022,01,핀란드,46
2022,01,에티오피아,44
2022,01,알제리,43
2022,01,코트디부아르,42
2022,01,카메룬,42
2022,01,도미니카공화국,39
2022,01,조지아,38
2022,01,불가리아,38
2022,01,라트비아,35
2022,01,포르투갈,34
2022,01,벨로루시,34
2022,01,무국적,34
2022,01,헝가리,32
2022,01,코스타리카,31
2022,01,온두라스,30
2022,01,케냐,29
2022,01,이스라엘,29
2022,01,시리아,29
2022,01,투르크메니스탄,27
2022,01,리투아니아,27
2022,01,탄자니아,26
2022,01,슬로바크,26
2022,01,마카오,25
2022,01,세네갈,24
2022,01,짐바브웨,23
2022,01,자메이카,22
2022,01,아제르바이잔,21
2022,01,예멘공화국,20
2022,01,수단,20
2022,01,콩고민주공화국,18
2022,01,알바니아,18
2022,01,말리,17
2022,01,오만,16
2022,01,국제연합,16
2022,01,시에라리온,15
2022,01,홍콩거주난민,13
2022,01,쿠웨이트,13
2022,01,볼리비아,13
2022,01,미등록국가,13
2022,01,마샬군도,13
2022,01,슬로베니아,12
2022,01,브루나이,12
2022,01,니카라과,12
2022,01,피지,11
2022,01,키프로스,11
2022,01,콩고,11
2022,01,우루과이,11
2022,01,세르비아,11
2022,01,에스토니아,10
2022,01,베냉,10
2022,01,미이크로네시아,10
2022,01,몰타,10
2022,01,모리셔스,10
2022,01,레바논,10
2022,01,파나마,9
2022,01,아이티,9
2022,01,기니,9
2022,01,팔라우,8
2022,01,파푸아뉴기니,8
2022,01,부르키나파소,8
2022,01,감비아,8
2022,01,가봉,8
2022,01,자이르,7
2022,01,영국외지민,7
2022,01,모리타니,7
2022,01,르완다,7
2022,01,토고,6
2022,01,에스와티니,6
2022,01,앙골라,6
2022,01,소말리아,6
2022,01,몰도바,6
2022,01,카타르,5
2022,01,사모아,5
2022,01,트리니다드토바고,4
2022,01,통가,4
2022,01,쿠바,4
2022,01,중앙아프리카공화국,4
2022,01,잠비아,4
2022,01,수리남,4
2022,01,벨리즈,4
2022,01,모잠비크,4
2022,01,말라위,4
2022,01,팔레스타인,3
2022,01,코소보,3
2022,01,지부티,3
2022,01,엘살바도르,3
2022,01,아이슬란드,3
2022,01,부룬디,3
2022,01,마다가스카르,3
2022,01,룩셈부르크,3
2022,01,도미니카연방,3
2022,01,나우루,3
2022,01,기니비사우,3
2022,01,적도기니,2
2022,01,에리트레아,2
2022,01,아르메니아,2
2022,01,상투메프린시페,2
2022,01,보스니아헤르체고비나,2
2022,01,바베이도스,2
2022,01,바누아투,2
2022,01,마케도니아,2
2022,01,니제르,2
2022,01,미상,2
2022,01,카보베르데,1
2022,01,유고슬라비아,1
2022,01,안도라,1
2022,01,스발바르,1
2022,01,세인트크리스토퍼네비스,1
2022,01,세인트빈센트그레나딘,1
2022,01,세이셸,1
2022,01,세르비아몬테네그로,1
2022,01,산마리노,1
2022,01,부탄,1
2022,01,보츠와나,1
2022,01,바하마,1
2022,01,바레인,1
2022,01,몬테네그로,1
2022,01,레소토,1
2022,01,그레나다,1
2022,01,가이아나,1
2022,02,태국,139718
2022,02,미국,71708
2022,02,중국,57248
2022,02,베트남,28998
2022,02,몽골,13223
2022,02,러시아연방,9334
2022,02,필리핀,8672
2022,02,카자흐스탄,7523
2022,02,한국계중국인,6730
2022,02,일본,4464
2022,02,인도네시아,4432
2022,02,우즈베키스탄,4017
2022,02,방글라데시,3427
2022,02,캐나다,2401
2022,02,프랑스,2254
2022,02,파키스탄,2238
2022,02,말레이시아,1949
2022,02,오스트레일리아,1837
2022,02,독일,1750
2022,02,인도,1737
2022,02,미얀마,1721
2022,02,네팔,1558
2022,02,캄보디아,1505
2022,02,스리랑카,1281
2022,02,타이완,1200
2022,02,영국,1132
2022,02,이란,764
2022,02,싱가포르,677
2022,02,라오스,623
2022,02,키르기즈,598
2022,02,뉴질랜드,598
2022,02,터키,587
2022,02,홍콩,552
2022,02,브라질,535
2022,02,네덜란드,499
2022,02,타지키스탄,471
2022,02,이탈리아,457
2022,02,멕시코,432
2022,02,나이지리아,365
2022,02,페루,327
2022,02,남아프리카공화국,325
2022,02,이집트,318
2022,02,스페인,301
2022,02,가나,283
2022,02,아랍에미리트연합,262
2022,02,리비아,245
2022,02,폴란드,242
2022,02,스웨덴,242
2022,02,우크라이나,240
2022,02,아르헨티나,238
2022,02,스위스,193
2022,02,벨기에,191
2022,02,핀란드,190
2022,02,모로코,172
2022,02,티모르민주공화국,167
2022,02,이라크,153
2022,02,루마니아,151
2022,02,덴마크,138
2022,02,오스트리아,136
2022,02,노르웨이,126
2022,02,요르단,116
2022,02,아일랜드,114
2022,02,파라과이,113
2022,02,콜롬비아,110
2022,02,칠레,109
2022,02,사우디아라비아,106
2022,02,그리스,101
2022,02,체코,100
2022,02,크로아티아,88
2022,02,에티오피아,75
2022,02,이스라엘,74
2022,02,헝가리,69
2022,02,리투아니아,68
2022,02,에콰도르,64
2022,02,아프가니스탄,64
